product_id,product_name,category,description
P001,Laptop Pro 15,Electronics,High-performance laptop for professionals and creatives.
P002,Wireless Mouse,Accessories,Ergonomic wireless mouse with long battery life.
P003,Mechanical Keyboard,Accessories,RGB mechanical keyboard with tactile switches.
P004,27-inch 4K Monitor,Electronics,Ultra HD monitor with vibrant colors and wide viewing angles.
P005,USB-C Hub,Accessories,Multi-port USB-C hub for connectivity.
P006,External SSD 1TB,Storage,Fast and portable 1TB solid-state drive.
P007,Webcam HD,Electronics,1080p HD webcam for video conferencing.
P008,Noise Cancelling Headphones,Audio,Over-ear headphones with active noise cancellation.
P009,Smartphone X,Electronics,Latest generation smartphone with advanced features.
P010,Tablet Pro,Electronics,Lightweight tablet for entertainment and productivity.
P011,E-Reader,Electronics,Glare-free e-reader with adjustable backlight.
P012,Smartwatch Series 5,Wearables,Feature-rich smartwatch with health tracking.
P013,Bluetooth Speaker,Audio,Portable Bluetooth speaker with rich sound.
P014,Gaming Console NextGen,Gaming,Next-generation gaming console for immersive experiences.
P015,VR Headset,Gaming,Virtual reality headset for gaming and simulations.
P016,Drone Quadcopter,Gadgets,Camera drone for aerial photography and videography.
P017,Digital Camera Mark II,Photography,Professional digital camera with interchangeable lenses.
P018,Portable Charger,Accessories,High-capacity power bank for charging devices on the go.
P019,Office Chair Ergonomic,Furniture,Ergonomic office chair for comfort and support.
P020,Standing Desk,Furniture,Adjustable height standing desk for a healthier workspace.
P021,LED Desk Lamp,Home Goods,Modern LED desk lamp with adjustable brightness.
P022,Backpack Commuter,Accessories,Durable and spacious backpack for daily commute.
P023,Water Bottle Insulated,Home Goods,Stainless steel insulated water bottle.
P024,Coffee Maker Deluxe,Appliances,Programmable coffee maker with multiple brew options.
P025,Air Purifier,Appliances,HEPA air purifier for cleaner indoor air.
